,Neighborhood,Latitude,Longitude
0,Boystown,41.9439979,-87.6473853
1,Bucktown,41.9227067,-87.68027479999999
2,Cabrini–Green,41.9010905,-87.64146360000001
3,East Village,41.8998114,-87.67229379999999
4,Gold Coast,41.9066994,-87.6253308
5,Goose Island,41.9044551,-87.65441369999999
6,Graceland West,41.9599512,-87.6680743
7,Kosciuszko Park,41.9309688,-87.7250021
8,Lake View,41.9397814,-87.6589273
9,Lake View East,41.9413585,-87.6443089
10,Lincoln Park,41.9254701,-87.64877829999999
11,Logan Square,41.9230598,-87.70929079999999
12,Magnificent Mile,41.894809,-87.6242142
13,Near North Side,41.90391,-87.6314629
14,Noble Square,41.8993311,-87.6638512
15,North Center,41.9508915,-87.68276759999999
16,North Halsted,41.9160828,-87.6484419
17,Old Town,41.907657,-87.63741429999999
18,Old Town Triangle,41.907657,-87.63741429999999
19,Palmer Square,41.9210705,-87.70048229999999
20,Park West,41.918591,-87.63738099999999
21,Pulaski Park,41.906761,-87.6634095
22,Ranch Triangle,41.9151277,-87.6528359
23,River North,41.89238479999999,-87.6340749
24,River West,41.8944333,-87.64948079999999
25,Roscoe Village,41.94256,-87.680155
26,Saint Ben's,41.9496772,-87.684
27,Sheffield Neighbors,41.9217662,-87.65743189999999
28,Smith Park,41.8930015,-87.6905214
29,South East Ravenswood,41.9681851,-87.68030279999999
30,Streeterville,41.8927362,-87.6200416
31,Ukrainian Village,41.8994127,-87.68448509999999
32,West DePaul,41.9290217,-87.6656217
33,West Lakeview,41.9371863,-87.67907029999999
34,West Town,41.8935946,-87.6721671
35,Wicker Park,41.9104892,-87.6775672
36,Wrightwood Neighbors,41.9285649,-87.6563505
37,Wrigleyville,41.949062,-87.656516
