,address,categories,cc,city,country,crossStreet,distance,formattedAddress,id,labeledLatLngs,lat,lng,name,neighborhood,postalCode,state
1317,2648 W Fullerton Ave,Bowling Alley,US,Chicago,United States,btwn Washtenaw Ave & Talman Ave,664,"['2648 W Fullerton Ave (btwn Washtenaw Ave & Talman Ave)', 'Chicago, IL 60647', 'United States']",40b28c80f964a520d4fe1ee3,"[{'label': 'display', 'lat': 41.92495760463575, 'lng': -87.69439466184836}]",41.9249576,-87.69439466,Fireside Bowl,,60647,IL
67,3145 N Sheffield Ave,Music Venue,US,Chicago,United States,btwn W Fletcher St & W Belmont Ave,734,"['3145 N Sheffield Ave (btwn W Fletcher St & W Belmont Ave)', 'Chicago, IL 60657', 'United States']",417c4200f964a520ca1d1fe3,"[{'label': 'display', 'lat': 41.93954700830196, 'lng': -87.65392941099667}]",41.93954701,-87.65392941,The Vic Theatre,,60657,IL
492,3325 N Southport Ave,Bowling Alley,US,Chicago,United States,at W Henderson St,495,"['3325 N Southport Ave (at W Henderson St)', 'Chicago, IL 60657', 'United States']",4276bf00f964a52089211fe3,"[{'label': 'display', 'lat': 41.94237267739185, 'lng': -87.66378827895879}]",41.94237268,-87.66378828,Southport Lanes & Billiards,,60657,IL
1943,201 E Randolph St,Park,US,Chicago,United States,btwn Columbus Dr & Michigan Ave,1152,"['201 E Randolph St (btwn Columbus Dr & Michigan Ave)', 'Chicago, IL 60601', 'United States']",42b75880f964a52090251fe3,,41.88269349,-87.62344161,Millennium Park,The Loop,60601,IL
501,3733 N Southport Ave,Indie Movie Theater,US,Chicago,United States,btwn Grace St & Waveland Ave,1195,"['3733 N Southport Ave (btwn Grace St & Waveland Ave)', 'Chicago, IL 60613', 'United States']",42e82000f964a52086261fe3,"[{'label': 'display', 'lat': 41.949860830176604, 'lng': -87.66391971748097}]",41.94986083,-87.66391972,Music Box Theatre,,60613,IL
1000,3700 N Western Ave,Bowling Alley,US,Chicago,United States,at Waveland Ave,539,"['3700 N Western Ave (at Waveland Ave)', 'Chicago, IL 60618', 'United States']",449c93b0f964a520b0341fe3,"[{'label': 'display', 'lat': 41.948608, 'lng': -87.688509}]",41.948608,-87.688509,Waveland Bowl,"North Center, Chicago, IL",60618,IL
1905,2333 W Sunnyside Ave,Park,US,Chicago,United States,at Claremont Ave,1124,"['2333 W Sunnyside Ave (at Claremont Ave)', 'Chicago, IL 60625', 'United States']",45062d39f964a5200c391fe3,,41.962608,-87.686722,Welles Park,,60625,IL
1849,1517 W Fullerton Ave,Indie Movie Theater,US,Chicago,United States,N Ashland Ave,848,"['1517 W Fullerton Ave (N Ashland Ave)', 'Chicago, IL 60614', 'United States']",46c47beff964a520fd491fe3,"[{'label': 'display', 'lat': 41.92522381498369, 'lng': -87.6665562764638}]",41.92522381,-87.66655628,Facets Multi-Media,,60614,IL
816,322 E Illinois St,Multiplex,US,Chicago,United States,btwn Fairbanks Ct & McClurg Ct,586,"['322 E Illinois St (btwn Fairbanks Ct & McClurg Ct)', 'Chicago, IL 60611', 'United States']",49d814e4f964a5209e5d1fe3,"[{'label': 'display', 'lat': 41.89123442048791, 'lng': -87.61900716753219}]",41.89123442,-87.61900717,AMC River East 21,,60611,IL
417,1851 W Irving Park Rd,Bowling Alley,US,Chicago,United States,at N Wolcott Ave,930,"['1851 W Irving Park Rd (at N Wolcott Ave)', 'Chicago, IL 60613', 'United States']",49eba125f964a52007671fe3,"[{'label': 'display', 'lat': 41.954118776525654, 'lng': -87.67612921736335}]",41.95411878,-87.67612922,Timber Lanes,,60613,IL
810,330 N State St,Bowling Alley,US,Chicago,United States,,787,"['330 N State St', 'Chicago, IL 60654', 'United States']",4a02db83f964a52070711fe3,"[{'label': 'display', 'lat': 41.88840634823718, 'lng': -87.62825255735466}]",41.88840635,-87.62825256,10Pin Bowling Lounge,,60654,IL
2056,700 E Grand Ave,Movie Theater,US,Chicago,United States,at Streeter Dr,941,"['700 E Grand Ave (at Streeter Dr)', 'Chicago, IL 60611', 'United States']",4a0e258bf964a520cd751fe3,"[{'label': 'display', 'lat': 41.89166741418056, 'lng': -87.60876525910625}]",41.89166741,-87.60876526,Navy Pier IMAX,,60611,IL
758,Ohio St,Beach,US,Chicago,United States,at Lake Shore Dr,919,"['Ohio St (at Lake Shore Dr)', 'Chicago, IL 60611', 'United States']",4a196e80f964a520137a1fe3,"[{'label': 'display', 'lat': 41.89303017441698, 'lng': -87.61338051106996}]",41.89303017,-87.61338051,Ohio Street Beach,,60611,IL
812,600 N Michigan Ave,Multiplex,US,Chicago,United States,at Ohio St,238,"['600 N Michigan Ave (at Ohio St)', 'Chicago, IL 60611', 'United States']",4a1c43d5f964a520307b1fe3,"[{'label': 'display', 'lat': 41.892672148898086, 'lng': -87.62441229218054}]",41.89267215,-87.62441229,AMC Loews 600 North Michigan 9,,60611,IL
1846,1471 W Webster Ave,Movie Theater,US,Chicago,United States,,618,"['1471 W Webster Ave', 'Chicago, IL 60614', 'United States']",4a2aac37f964a52034961fe3,"[{'label': 'display', 'lat': 41.921477606764675, 'lng': -87.66489348229281}]",41.92147761,-87.66489348,Regal Cinemas Webster Place 11,,60614,IL
129,375 W Elm St,Park,US,Chicago,United States,,348,"['375 W Elm St', 'Chicago, IL 60610', 'United States']",4a308eabf964a5207c991fe3,"[{'label': 'display', 'lat': 41.90291141116247, 'lng': -87.63803519083274}]",41.90291141,-87.63803519,Seward Park,,60610,IL
1929,4614 N Lincoln Ave,Movie Theater,US,Chicago,United States,Wilson Avenue,984,"['4614 N Lincoln Ave (Wilson Avenue)', 'Chicago, IL 60625', 'United States']",4a367adbf964a520949d1fe3,"[{'label': 'display', 'lat': 41.965296175955885, 'lng': -87.68678308152758}]",41.96529618,-87.68678308,Davis Theater,,60625,IL
